2011.01.21,00:00,1.34714,1.36237,1.34477,1.36133,65007
2011.01.24,00:00,1.36412,1.36847,1.35394,1.36364,74314
2011.01.25,00:00,1.36368,1.37032,1.35723,1.36813,82239
2011.01.26,00:00,1.36813,1.37204,1.36402,1.37111,68867
2011.01.27,00:00,1.37118,1.37574,1.36362,1.37319,80975
2011.01.28,00:00,1.37321,1.37452,1.35826,1.36068,71036
2011.01.31,00:00,1.35866,1.37388,1.35692,1.36921,75005
2011.02.01,00:00,1.36925,1.38418,1.36888,1.38273,78315
2011.02.02,00:00,1.38263,1.38607,1.37666,1.38088,73069
2011.02.03,00:00,1.38086,1.38249,1.36086,1.36326,74850
2011.02.04,00:00,1.36326,1.36760,1.35428,1.35863,61448
2011.02.07,00:00,1.35853,1.36256,1.35074,1.35812,72676
2011.02.08,00:00,1.35820,1.36875,1.35715,1.36240,75043
2011.02.09,00:00,1.36230,1.37435,1.36103,1.37308,67803
2011.02.10,00:00,1.37300,1.37335,1.35765,1.36015,70406
2011.02.11,00:00,1.36016,1.36196,1.34965,1.35461,61076
2011.02.14,00:00,1.35067,1.35574,1.34274,1.34870,67518
2011.02.15,00:00,1.34870,1.35494,1.34602,1.34851,67851
2011.02.16,00:00,1.34851,1.35872,1.34616,1.35672,67170
2011.02.17,00:00,1.35670,1.36183,1.35359,1.36074,66430
2011.02.18,00:00,1.36071,1.37138,1.35445,1.36843,63998
2011.02.21,00:00,1.36981,1.37144,1.36464,1.36749,42978
2011.02.22,00:00,1.36774,1.37022,1.35236,1.36487,75348
2011.02.23,00:00,1.36487,1.37854,1.36470,1.37476,67446
2011.02.24,00:00,1.37482,1.38195,1.37031,1.37988,65684
2011.02.25,00:00,1.37984,1.38372,1.37232,1.37515,57536
2011.02.28,00:00,1.37561,1.38544,1.37104,1.38050,68905
2011.03.01,00:00,1.38052,1.38531,1.37621,1.37757,71695
2011.03.02,00:00,1.37760,1.38889,1.37422,1.38637,49432
2011.03.03,00:00,1.38635,1.39733,1.38325,1.39681,60089
2011.03.04,00:00,1.39675,1.40066,1.39395,1.39838,56493
2011.03.07,00:00,1.39896,1.40350,1.39547,1.39660,80484
2011.03.08,00:00,1.39675,1.39878,1.38618,1.39035,85019
2011.03.09,00:00,1.39034,1.39406,1.38548,1.39073,78951
2011.03.10,00:00,1.39070,1.39235,1.37744,1.37966,77975
2011.03.11,00:00,1.37965,1.39029,1.37516,1.39013,73643
2011.03.14,00:00,1.39640,1.40023,1.39036,1.39903,96224
2011.03.15,00:00,1.39902,1.40122,1.38547,1.39972,97111
2011.03.16,00:00,1.39972,1.40010,1.38659,1.38982,107795
2011.03.17,00:00,1.38964,1.40517,1.38663,1.40199,107818
2011.03.18,00:00,1.40200,1.41827,1.39792,1.41671,85218
2011.03.21,00:00,1.41940,1.42391,1.41387,1.42251,69962
2011.03.22,00:00,1.42242,1.42474,1.41787,1.41952,65787
2011.03.23,00:00,1.41959,1.42138,1.40837,1.40861,72391
2011.03.24,00:00,1.40853,1.42190,1.40530,1.41757,76538
2011.03.25,00:00,1.41751,1.41927,1.40549,1.40739,72570
2011.03.28,00:00,1.40393,1.41147,1.40200,1.40858,72690
2011.03.29,00:00,1.40859,1.41477,1.40463,1.41112,82995
2011.03.30,00:00,1.41113,1.41464,1.40513,1.41254,78880
2011.03.31,00:00,1.41253,1.42322,1.41149,1.41562,83942
2011.04.01,00:00,1.41562,1.42445,1.40602,1.42216,76856
2011.04.04,00:00,1.42269,1.42676,1.41922,1.42192,71872
2011.04.05,00:00,1.42191,1.42449,1.41509,1.42211,73494
2011.04.06,00:00,1.42204,1.43481,1.42062,1.43305,84511
2011.04.07,00:00,1.43306,1.43360,1.42419,1.43069,85801
2011.04.08,00:00,1.43071,1.44657,1.42903,1.44551,79118
2011.04.11,00:00,1.44698,1.44822,1.44201,1.44346,77264
2011.04.12,00:00,1.44350,1.45185,1.43763,1.44759,111594
2011.04.13,00:00,1.44768,1.45195,1.44128,1.44418,92251
2011.04.14,00:00,1.44418,1.45136,1.43645,1.44856,95493
2011.04.15,00:00,1.44877,1.45028,1.43903,1.44258,70055
2011.04.18,00:00,1.44095,1.44193,1.41556,1.42311,96439
2011.04.19,00:00,1.42302,1.43520,1.42043,1.43329,92446
2011.04.20,00:00,1.43329,1.45463,1.43273,1.45210,87363
2011.04.21,00:00,1.45209,1.46475,1.45042,1.45512,78374
2011.04.22,00:00,1.45510,1.45872,1.45327,1.45454,19238
2011.04.25,00:00,1.45593,1.46262,1.45246,1.45783,64226
2011.04.26,00:00,1.45783,1.46561,1.44925,1.46427,100566
2011.04.27,00:00,1.46426,1.47941,1.46319,1.47856,109625
2011.04.28,00:00,1.47859,1.48806,1.47679,1.48214,103853
2011.04.29,00:00,1.48210,1.48773,1.48033,1.48091,65873
2011.05.02,00:00,1.48148,1.49012,1.47627,1.48287,101830
2011.05.03,00:00,1.48280,1.48890,1.47537,1.48237,120842
